Species,Group
Orange brachiopods,Brachiopoda
Orange branching sponge,Porifera
Orange/red encrusting sponge,Porifera
Parazoanthus,Cnidaria
Pink/orange encrusting sponge,Porifera
Polymastia massalis.,Porifera
POR_44,Porifera
POR_54,Porifera
POR_6,Porifera
POR_7,Porifera
Sertulariidae sp.,Cnidaria
Smittoidea maunganuiensis,Bryozoa
Solitary pink/purple ascidian,Ascidiacea
Solitary yellow ascidian,Ascidiacea
Stelletta crater (with Desmacella dendyi),Porifera
Tethya sp.,Porifera
Tube Worm 1,Annelida
White encrusting bryozoan,Bryozoa
White encrusting sponge.,Porifera
Yellow branching hydroid (big colonies),Cnidaria
Yellow branhcing sponge,Porifera
Yellow encrusting sponge (large oscula),Porifera
Yellow encrusting sponge (smooth surface),Porifera
Yellow Hydroid,Cnidaria
Yellow/Orange branching sponge,Porifera
Yellow spiky encrusting sponge,Porifera
Yellow/white irregular branching sponge,Porifera
